HDname,HIPname,RAval,DECval
HD 23380,HIP 17391,55.86617775,-33.50226911
HD 23356,HIP 17420,55.98059525,-19.11089636
HD 233517,,125.694625,53.08033194
HD 23281,HIP 17395,55.89097396,-10.48565525
HD 23267,HIP 17549,56.37942896,42.00692347
HD 23208,HIP 17338,55.66584413,-20.54545694
HD 2262,HIP 2072,6.550840958,-43.67983136
HD 22484,HIP 16852,54.21826346,0.401661917
HD 224309,HIP 118027,359.1158491,83.19111736
HD 223408,HIP 117481,357.3313586,-27.85425836
HD 223352,HIP 117452,357.2314441,-28.13027069
HD 222368,HIP 116771,354.9876724,5.626290972
HD 221853,HIP 116431,353.9006377,8.382618278
HD 221756,HIP 116354,353.6564049,40.23643872
HD 220825,HIP 115738,351.7331494,1.255608333
HD 22049,HIP 16537,53.23268733,-8.541741333
HD 21997,HIP 16449,52.97352892,-25.61414906
HD 219571,HIP 114996,349.3573843,-58.23573019
HD 219482,HIP 114948,349.2403588,-62.00120078
HD 219025,HIP 114678,348.4699347,-68.29134025
HD 218511,HIP 114361,347.4206302,-67.7328245
HD 218396,HIP 114189,346.8696461,21.13425147
HD 218340,HIP 114236,347.0515425,-63.62816106
HD 217357,HIP 113576,345.0671732,-22.52434797
HD 216956,HIP 113368,344.4126927,-29.62223703
HD 216435,HIP 113044,343.4080487,-48.59828622
HD 21641,HIP 16430,52.88806679,47.86241589
HD 215789,HIP 112623,342.138743,-51.31686114
HD 215766,HIP 112542,341.9282055,-14.05642803
HD 213845,HIP 111449,338.673485,-20.70821608
HD 213398,HIP 111188,337.8763766,-32.34607369
HD 21086,HIP 15937,51.305713,32.37944839
HD 210702,HIP 109577,332.9638786,16.04055286
HD 208585,HIP 108331,329.221689,17.43978356
HD 20807,HIP 15371,49.55341054,-62.50636244
HD 20794,HIP 15510,49.98187888,-43.06978264
HD 207129,HIP 107649,327.0656271,-47.30361561
HD 206893,HIP 107412,326.3412701,-12.7833525
HD 206860,HIP 107350,326.1305383,14.77193906
HD 205674,HIP 106741,324.3379661,-18.44117942
HD 204961,HIP 106440,323.3915639,-49.00900533
HD 203562,HIP 105570,320.7233893,6.811140833
HD 20320,HIP 15197,48.958444,-8.819728333
HD 202917,HIP 105388,320.2081463,-53.03420619
HD 202628,HIP 105184,319.61362,-43.33465139
HD 202444,HIP 104887,318.6978855,38.04531781
HD 202206,HIP 104903,318.7407049,-20.78920939
HD 201906,HIP 105169,319.5677039,-75.34675494
HD 201377,HIP 104430,317.3166958,0.234922222
HD 201219,HIP 104318,316.9855008,7.432941917
HD 19994,HIP 14954,48.19348829,-1.196100361
HD 199260,HIP 103389,314.1972138,-26.29637653
HD 198472,HIP 103048,313.1734467,-53.27341142
HD 198160,,312.9103083,-62.429325
HD 198093,HIP 102655,312.0448725,-6.022792056
HD 197481,HIP 102409,311.2897145,-31.34090069
HD 19668,HIP 14684,47.42620071,-9.579606139
HD 196544,HIP 101800,309.4546641,11.37767656
HD 195627,HIP 101612,308.895213,-60.58175156
HD 192758,,304.5657925,-42.8600825
HD 192544,HIP 99892,304.0116243,-16.29568497
HD 192425,HIP 99742,303.5692453,15.19760897
HD 192263,HIP 99711,303.4993583,0.866875
HD 191174,HIP 98872,301.1854946,63.89020717
HD 191089,HIP 99273,302.2717286,-26.22403506
HD 189002,HIP 98304,299.6066099,-14.01180778
HD 188228,HIP 98495,300.1481483,-72.9105055
HD 187897,HIP 97779,298.0391086,7.460045083
HD 187085,HIP 97546,297.3915252,-37.78054847
HD 186025,HIP 96908,295.4932021,1.182066944
HD 184327,HIP 96610,294.6216815,-65.91422581
HD 184006,HIP 95853,292.4264947,51.72977939
HD 183970,HIP 95938,292.6667204,35.10255275
HD 183324,HIP 95793,292.2541165,1.950448861
HD 183216,HIP 95849,292.4190534,-30.79776056
HD 182681,HIP 95619,291.7353452,-29.74322694
HD 181327,HIP 95270,290.7455958,-54.53804789
HD 181296,HIP 95261,290.7133592,-54.42392981
HD 180161,HIP 94346,288.0473226,57.67198017
HD 179933,HIP 94140,287.4408626,65.97851219
HD 179930,HIP 94739,289.1788125,-45.88935278
HD 179520,HIP 94491,288.4848113,-26.87625589
HD 17925,HIP 13402,43.13386817,-12.76971367
HD 17848,HIP 13141,42.25619588,-62.8065215
HD 176894,HIP 93327,285.1330787,41.68424942
HD 174474,HIP 92676,283.2597768,-48.36091361
HD 173608,,281.0957667,39.61276667
HD 172555,HIP 92024,281.3620854,-64.87126106
HD 172167,HIP 91262,279.2347348,38.78368894
HD 170773,HIP 90936,278.2538217,-39.89202133
HD 169830,HIP 90485,276.9561814,-29.81686314
HD 169666,HIP 89770,274.7843435,71.51785819
HD 16743,HIP 12361,39.78150992,-52.93480686
HD 166636,HIP 89342,273.4478543,-46.31258828
HD 166,HIP 544,1.653270083     29.,2150106
HD 165459,HIP 88349,270.6280855,58.62726653
HD 164249,HIP 88399,270.7642146,-51.64901025
HD 161868,HIP 87108,266.9731655,2.707277778
HD 160305,HIP 86598,265.4543215,-50.72445503
HD 160032,HIP 86486,265.09927,-49.41558375
HD 159502,HIP 85951,263.4951547,29.09644925
HD 159492,HIP 86305,264.5229797,-54.50043453
HD 159170,HIP 85922,263.3743547,-5.744803444
HD 158633,HIP 85235,261.250412,67.30670769
HD 15745,HIP 11847,38.23254367,37.3336225
HD 156164,HIP 84379,258.7579608,24.83920697
HD 15407,HIP 11696,37.7110735,55.54840061
HD 153053,HIP 83187,255.0261641,-54.59717697
HD 151376,HIP 82218,251.9472413,-19.87553872
HD 151360,HIP 82250,252.070492,-31.85031306
HD 15115,HIP 11360,36.567687,6.292552472
HD 149807,HIP 81400,249.374659,-11.86985914
HD 146621,HIP 79677,243.9260968,35.64096969
HD 1466,HIP 1481,4.608843208,-63.47749528
HD 1461,HIP 1499,4.674446833,-8.053000667
HD 145964,HIP 79599,243.6203505,-21.10763486
HD 145504,HIP 79383,243.0247258,-23.24574664
HD 145263,HIP 79288,242.7296096,-25.52268483
HD 145229,HIP 79165,242.3609526,11.57445825
HD 142091,HIP 77655,237.808047,35.65737975
HD 141569,HIP 77542,237.490616,-3.921206389
HD 141378,HIP 77464,237.236654,-3.818510222
HD 14082B,HIP 10679,34.35305904,28.74175858
HD 140614,HIP 77094,236.1259359,3.370044861
HD 14055,HIP 10670,34.32861263,33.84719306
HD 1404,HIP 1473,4.581906042,36.78522519
HD 139731,HIP 76782,235.157594,-25.59252114
HD 139664,HIP 76829,235.2974041,-44.66120633
HD 139006,HIP 76267,233.67195,26.71469278
HD 138965,HIP 76736,235.0481512,-70.22788339
HD 137949,HIP 75848,232.3947639,-17.44094161
HD 136482,HIP 75210,230.5468981,-37.63562547
HD 136246,HIP 75077,230.1309108,-28.28710678
HD 133803,HIP 73990,226.812236,-29.50448014
HD 133640,HIP 73695,225.9470652,47.65406189
HD 132658,HIP 73397,224.9980428,12.02394928
HD 13246,HIP 9902,31.85884654,-59.67942844
HD 132254,HIP 73100,224.0960027,49.62845042
HD 132238,HIP 73341,224.8080211,-37.88123017
HD 131835,HIP 73145,224.2269504,-35.69546047
HD 13161,HIP 10064,32.38594633,34.98729706
HD 131511,HIP 72848,223.3490281,19.15280036
HD 131496,HIP 72845,223.345953,18.2354045
HD 131488,,223.7834425,-41.12039472
HD 129502,HIP 71957,220.7650951,-5.658203528
HD 128311,HIP 71395,219.0023345,9.746517556
HD 128167,HIP 71284,218.6700708,29.7451275
HD 128165,HIP 71181,218.3702813,52.90879236
HD 127821,HIP 70952,217.6919573,63.18578703
HD 126135,HIP 70455,216.1829824,-40.75516275
HD 125283,HIP 69995,214.8494977,-37.00290664
HD 125162,HIP 69732,214.0959117,46.08830569
HD 12467,HIP 10054,32.35547258,81.29594283
HD 124580,HIP 69671,213.911188,-45.00075672
HD 124520,,213.6230642,-18.34285667
HD 121617,,209.4213579,-47.00949722
HD 121191,,208.8285792,-53.52861944
HD 121189,HIP 67970,208.7916482,-50.74526072
HD 120534,,207.6675633,-31.20643194
HD 12039,HIP 9141,29.45407675,-21.90148469
HD 120362,HIP 67837,208.4323293,-78.41369772
HD 120178,HIP 67428,207.2884021,-54.22841375
HD 119152,HIP 66837,205.4699078,-18.98484567
HD 118972,HIP 66765,205.2673794,-34.46415756
HD 117620,HIP 66075,203.1770258,-55.82754967
HD 117176,HIP 65721,202.1075359,13.7787885
HD 115953,HIP 65026,199.9402207,47.77804192
HD 115892,HIP 65109,200.149239,-36.71229019
HD 115617,HIP 64924,199.6013095,-18.31119575
HD 115600,HIP 64995,199.8314166,-59.47234364
HD 115371,HIP 64837,199.3706393,-42.93297433
HD 11413,HIP 8593,27.72681133,-50.20613794
HD 114082,HIP 64184,197.3174669,-60.3083475
HD 113766,HIP 63975,196.6493176,-46.03389383
HD 113337,HIP 63584,195.4455279,63.61022478
HD 11171,HIP 8497,27.39626317,-10.68640761
HD 111631,HIP 62687,192.6815229,0.768121667
HD 111520,HIP 62657,192.5821555,-49.86359961
HD 111347,HIP 62492,192.0917546,30.7671775
HD 110897,HIP 62207,191.2475211,39.27891836
HD 110411,HIP 61960,190.4710691,10.23562633
HD 110058,HIP 61782,189.9424849,-49.19876203
HD 1100,HIP 1230,3.817779583,-6.138211972
HD 109573,HIP 61498,189.0042958,-39.8695075
HD 10939,HIP 8241,26.52609775,-53.52203553
HD 109085,HIP 61174,188.0176105,-16.19600458
HD 107649,HIP 60348,185.6035633,-51.026208
HD 107146,HIP 60074,184.7770929,16.54829522
HD 10700,HIP 8102,26.01701408,-14.0625205
HD 106906,HIP 59960,184.4716345,-55.97552472
HD 10647,HIP 7978,25.62214621,-53.74083364
HD 106252,HIP 59610,183.3729556,10.04163822
HD 105857,HIP 59397,182.774466,-56.40135867
HD 105211,HIP 59072,181.7204125,-64.613729
HD 105,HIP 490,1.468934833     -41,0.75306744
HD 104860,HIP 58876,181.1405475,66.33658758
HD 102647,HIP 57632,177.2649098,14.57205806
HD 102458,HIP 57524,176.8522713,-49.88417219
HD 102438,HIP 57507,176.8158679,-30.28651081
HD 100764,HIP 56551,173.9281099,-14.59351622
HD 100546,HIP 56379,173.3560024,-70.19478786
GJ 9298,HIP 46383,141.868212,39.50497786
GJ 649,HIP 83043,254.5368766,25.74416356
GJ 581,HIP 74995,229.8617625,-7.722280556
GJ 54,HIP 5496,17.59542808     -6,7.44495914
GJ 433,HIP 56528,173.8622776,-32.53997089
GJ 4063,HIP 251234,278.6526888,40.12399778
GJ 285,HIP 37766,116.1673917,3.552454167
GJ 14,HIP 1368,4.276561875     40,0.94829631
CD-30 11814,,223.7520833,-30.7
BD-19 1062,,74.88344625,-19.29490583
2MASS J23544017-6051340,,358.667405,-60.859445
2MASS J23222469-0213414,,350.6028792,-2.228130556
2MASS J22480446-2422075,,342.018625,-24.36875
2MASS J22424896-7142211,,340.7038925,-71.70588611
2MASS J22080571+4802097,,332.02387,48.03602667
2MASS J20505008+5728212,,312.7086896,57.47257833
2MASS J20111681+3730522,,302.8200667,37.51441944
2MASS J19560438-3207376,,299.0182138,-32.1271275
2MASS J19310123+0523533,,292.7550958,5.398188889
2MASS J18030677-3951538,,270.7782125,-39.86497222
2MASS J17295506-5415487,,262.4794767,-54.26350694
2MASS J13343740-5853322,,203.6558333,-58.89230556
2MASS J13221772+6233380,,200.5739513,62.56057361
2MASS J12354033-6539414,,188.9179708,-65.66148056
2MASS J12295501-3549286,,187.4792058,-35.82462528
2MASS J11530385-5606045,,178.2661292,-56.10123611
2MASS J10423011-3340162,,160.6254667,-33.67116944
2MASS J10230988+6136434,,155.7911338,61.61208417
2MASS J10204853-1343164,,155.2021713,-13.72127167
2MASS J08414620+1158296,,130.4424613,11.97488361
2MASS J08101691-4856291,,122.570475,-48.94144444
2MASS J05510116-5238126,,87.75482083,-52.63686111
2MASS J04524951-1955016,,73.20634917,-19.917125
